Fecha,ARS/USD,BRL/USD,CLP/USD,EUR/USD,PEN/USD
01-01-05,2.94,2.69,574.12,0.76,3.27
01-02-05,2.91,2.60,573.58,0.77,3.26
01-03-05,2.92,2.70,586.48,0.76,3.26
01-04-05,2.90,2.58,580.46,0.77,3.26
01-05-05,2.89,2.45,578.31,0.79,3.25
01-06-05,2.88,2.42,585.47,0.82,3.25
01-07-05,2.87,2.37,575.77,0.83,3.25
01-08-05,2.88,2.36,546.61,0.81,3.26
01-09-05,2.91,2.30,536.70,0.82,3.30
01-10-05,2.96,2.26,535.50,0.83,3.38
01-11-05,2.96,2.21,529.88,0.85,3.37
01-12-05,3.01,2.28,514.33,0.84,3.42
01-01-06,3.04,2.28,524.48,0.83,3.40
01-02-06,3.07,2.16,525.70,0.84,3.29
01-03-06,3.08,2.15,528.77,0.83,3.34
01-04-06,3.07,2.13,517.33,0.82,3.33
01-05-06,3.05,2.17,520.79,0.78,3.28
01-06-06,3.08,2.25,542.46,0.79,3.26
01-07-06,3.08,2.19,540.62,0.79,3.24
01-08-06,3.08,2.16,538.53,0.78,3.23
01-09-06,3.10,2.16,538.65,0.78,3.25
01-10-06,3.10,2.15,530.95,0.79,3.24
01-11-06,3.07,2.16,527.44,0.78,3.22
01-12-06,3.06,2.15,527.58,0.76,3.21
01-01-07,3.08,2.14,540.51,0.77,3.19
01-02-07,3.10,2.10,542.27,0.76,3.19
01-03-07,3.10,2.09,538.49,0.76,3.19
01-04-07,3.09,2.03,532.30,0.74,3.18
01-05-07,3.08,1.99,522.02,0.74,3.17
01-06-07,3.08,1.93,526.72,0.75,3.17
01-07-07,3.11,1.88,519.80,0.73,3.16
01-08-07,3.15,1.95,522.92,0.73,3.16
01-09-07,3.15,1.91,516.91,0.72,3.14
01-10-07,3.16,1.80,501.44,0.70,3.02
01-11-07,3.13,1.76,506.95,0.68,3.00
01-12-07,3.14,1.78,499.28,0.69,2.98
01-01-08,3.14,1.77,480.90,0.68,2.95
01-02-08,3.16,1.73,467.22,0.68,2.91
01-03-08,3.15,1.71,442.94,0.65,2.82
01-04-08,3.17,1.69,446.43,0.63,2.74
01-05-08,3.15,1.66,470.10,0.64,2.80
01-06-08,3.05,1.62,493.61,0.64,2.89
01-07-08,3.02,1.59,502.24,0.63,2.85
01-08-08,3.03,1.61,516.70,0.67,2.88
01-09-08,3.07,1.78,530.17,0.69,2.96
01-10-08,3.22,2.17,618.39,0.75,3.06
01-11-08,3.32,2.26,651.51,0.79,3.09
01-12-08,3.42,2.39,649.32,0.75,3.11
01-01-09,3.46,2.31,623.01,0.75,3.15
01-02-09,3.51,2.32,606.00,0.78,3.23
01-03-09,3.65,2.32,592.93,0.77,3.18
01-04-09,3.69,2.21,583.18,0.76,3.09
01-05-09,3.72,2.07,565.72,0.73,3.00
01-06-09,3.76,1.96,553.08,0.71,2.99
01-07-09,3.81,1.94,540.42,0.71,3.01
01-08-09,3.84,1.84,546.88,0.70,2.95
01-09-09,3.84,1.83,549.07,0.69,2.91
01-10-09,3.83,1.74,545.83,0.68,2.87
01-11-09,3.81,1.73,507.78,0.67,2.88
01-12-09,3.80,1.75,501.45,0.68,2.88
01-01-10,3.80,1.77,500.66,0.70,2.86
01-02-10,3.85,1.85,532.56,0.73,2.85
01-03-10,3.86,1.79,523.16,0.74,2.84
01-04-10,3.87,1.76,520.62,0.74,2.84
01-05-10,3.90,1.81,533.21,0.80,2.84
01-06-10,3.92,1.81,536.67,0.82,2.84
01-07-10,3.93,1.77,531.72,0.78,2.82
01-08-10,3.94,1.76,509.32,0.77,2.80
